RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
1968762022	2919008	363705008	300359004	0	1	0
1918206024	119985005	260686004	257867005	0	1	1
3082119022	236645006	116676008	26036001	0	1	1
3113637024	19829001	263502005	288524001	1	2	0
2713453021	239155007	116676008	13924000	0	1	0
610414022	281415003	123005000	361827000	3	0	0
1531560025	263051004	246112005	272141005	1	2	0
3216372022	236239008	116680003	429723008	0	0	0
1756181029	127279002	116676008	19130008	0	1	1
2691553023	3850002	116680003	246464006	0	0	0
2876554022	271882006	418775008	5880005	0	1	0
2242383022	397502001	116680003	110378009	0	0	0
674724022	312581008	123005000	361982005	3	0	0
2229302022	56265001	116680003	49601007	0	0	0
1259947028	76069003	246456000	288526004	1	2	0
1466582023	225351009	260870009	272125009	1	2	0
70967024	112638000	116680003	107658001	0	0	0
2874988020	196131004	47429007	64572001	0	1	0
141089020	313560002	116680003	362877004	0	0	0
1659497025	255620007	116680003	116273005	0	0	0
604390026	278199004	123005000	278196006	3	0	0
3168732021	87858002	263502005	288524001	1	2	0
692016025	126537000	363698007	272673000	0	1	1
776498027	4180000	123005000	38266002	3	0	0
1324277026	128927009	260870009	272125009	1	2	0
2840359026	419933005	116680003	304275008	0	0	0
2739668028	93451002	116676008	14317002	0	1	1
1307470029	116032002	260507000	309795001	1	2	0
425632023	365605003	116680003	118222006	0	0	0
2835325025	256906008	116680003	418980009	0	0	0
2996644024	415994006	116680003	84281001	0	0	0
1547887028	274330002	260870009	272125009	1	2	0
696639021	127948008	123005000	182245002	3	0	0
3073369022	274036003	168666000	40173000	2	0	0
130271021	304066000	116680003	304062003	0	0	0
100617023	281253006	116680003	312717002	0	0	0
102345025	282408009	116680003	239748000	0	0	0
181634024	362937008	116680003	113343008	0	0	0
203933024	34402009	116680003	281088000	0	0	0
3129758026	236182003	424226004	281817001	1	1	0
2467383021	405813007	116680003	363704007	0	0	0
2530863027	201060008	116680003	232208008	0	0	0
3054176025	93432008	363698007	20139000	0	1	0
695846022	127331007	363698007	91723000	0	1	1
2998751027	362164005	116680003	423713007	0	0	0
313434029	362957007	116680003	363743006	0	0	0
1853394026	2095001	272741003	182353008	1	2	0
2275147022	312133006	363698007	20139000	0	1	0
2862521022	414253004	418775008	71388002	0	1	0
585362022	113251008	123005000	361991009	3	0	0
1669271020	14833006	116680003	373873005	0	0	0
2014732029	387837005	116680003	127331007	0	0	0
2553565023	363282007	116680003	118855008	0	0	0
1248458028	68972003	260507000	309795001	1	2	0
3004281020	7947003	116680003	108972005	0	0	0
2842171024	48428001	116680003	276341003	0	0	0
1997378029	363161007	116680003	301810000	0	0	0
96643026	278384005	116680003	43851006	0	0	0
1677712029	55071005	116680003	119290003	0	0	0
180951023	362785004	116680003	182281004	0	0	0
897497024	88928006	123005000	302536002	3	0	0
3149621027	312133006	263502005	288524001	1	2	0
2185388023	15725006	149016008	118846005	2	0	0
2540272026	408766003	116680003	71388002	0	0	0
2761156028	413350009	246090004	363787002	1	2	0
754386024	33003004	123005000	182048009	3	0	0
876496029	81087007	123005000	278858007	3	0	0
2754611023	269475001	116680003	414825006	0	0	0
660346024	302549007	123005000	302548004	3	0	0
32080020	223658005	116680003	223633000	0	0	0
281956023	82407001	116680003	41224006	0	0	0
282773028	82874003	116680003	41141002	0	0	0
2468687028	406643003	116680003	363819003	0	0	0
1713741024	373785006	116680003	307824009	0	0	0
2027193024	395104009	116680003	224891009	0	0	0
2043146022	7832008	123005000	243983004	3	0	0
71814026	252275004	116680003	33468001	0	0	0
133515021	118946009	116680003	128121009	0	0	0
2543722028	13136005	116680003	280115004	0	0	0
3242647020	301811001	246075003	409822003	0	1	0
3112125027	195898003	263502005	288524001	1	2	0
657275027	301096006	363698007	87878005	0	1	0
238264025	55449009	116680003	236239008	0	0	0
1465995029	223464006	260870009	272125009	1	2	0
2022409027	392091000	116680003	363697002	0	0	0
2510356028	408638001	246456000	288526004	1	2	0
2769088020	416771008	116680003	127856007	0	0	0
2711112026	236188004	116680003	236186000	0	0	0
248503022	61747003	116680003	280436005	0	0	0
3007342025	274424003	116680003	17006003	0	0	0
1274631026	85232009	246112005	272141005	1	2	0
108986021	286850002	116680003	285592006	0	0	0
1640430027	363687006	260870009	272125009	1	2	0
2721631023	298149009	116676008	49755003	0	1	1
606801027	279501005	123005000	245461005	3	0	0
2471203028	408638001	116680003	371583007	0	0	0
2187334025	360224006	168666000	129265001	2	0	0
3156715026	415991003	263502005	288524001	1	2	0
2765680021	240957008	116680003	118838009	0	0	0
2777851028	202210006	116676008	125171008	0	1	1
2565849027	410653004	116680003	408739003	0	0	0
