variant|text
haemangiomatosis|hemangiomatosis
haemangioma|hemangioma
haemangiopericytoma|hemangiopericytoma
haemangiosarcoma|hemangiosarcoma
haemarthrosis|hemarthrosis
haematemesis|hematemesis
haematinic|hematinic
haematobium|hematobium
haematocele|hematocele
haematocoele|hematocele
haematocolpos|hematocolpos
haematocrit|hematocrit
haematogenous|hematogenous
haematohidrosis|hematohidrosis
haematological|hematological
haematologic|hematologic
haematologist|hematologist
haematology|hematology
haematoma|hematoma
haematometra|hematometra
haematomyelia|hematomyelia
haematopoiesis|hematopoiesis
haematopoietic|hematopoietic
haematosalpinx|hematosalpinx
haematospermia|hematospermia
haematuria|hematuria
haemochromatosis|hemochromatosis
haemoclips|hemoclips
haemodiafiltration|hemodiafiltration
haemodialysis|hemodialysis
haemodilution|hemodilution
haemodynamic|hemodynamic
haemofiltrate|hemofiltrate
haemofiltration|hemofiltration
haemoglobinopathies|hemoglobinopathies
haemoglobinopathy|hemoglobinopathy
haemoglobinuria|hemoglobinuria
haemoglobin|hemoglobin
haemolymphangioma|hemolymphangioma
haemolysed|hemolysed
haemolysed|hemolyzed
haemolysin|hemolysin
haemolysis|hemolysis
haemolytic|hemolytic
haemoperfusion|hemoperfusion
haemopericardium|hemopericardium
haemoperitoneum|hemoperitoneum
haemopexin|hemopexin
haemophiliac|hemophiliac
haemophilia|hemophilia
haemophilic|hemophilic
haemophilus|hemophilus
haemophthalmos|hemophthalmos
haemopneumothorax|hemopneumothorax
haemopoietic|hemopoietic
haemoptysis|hemoptysis
haemorrhages|hemorrhages
haemorrhage|hemorrhage
haemorrhagica|hemorrhagica
haemorrhagic|hemorrhagic
haemorrhoidal|hemorrhoidal
haemorrhoidectomy|hemorrhoidectomy
haemorrhoids|hemorrhoids
haemorrhoid|hemorrhoid
haemosiderin|hemosiderin
haemosiderosis|hemosiderosis
haemospermia|hemospermia
haemostasis|hemostasis
haemostatics|hemostatics
haemostatic|hemostatic
haemostyptics|hemostyptics
haemostyptic|hemostyptic
haemothorax|hemothorax
haemotympanum|hemotympanum
harbour|harbor
heparinised|heparinized
histidinaemia|histidinemia
homoeopathic|homeopathic
homoeopathy|homeopathy
homoeostasis|homeostasis
hospitalisation|hospitalization
hospitalised|hospitalized
hosteller|hosteler
humour|humor
hyalinisation|hyalinization
hyalinising|hyalinizing
hydrocoele|hydrocele
hydrophillic|hydrophilic
hydroxyprolinaemia|hydroxyprolinemia
hyperaemia|hyperemia
hyperaemic|hyperemic
hyperaesthesia|hyperesthesia
hyperalphalipoproteinaemia|hyperalphalipoproteinemia
hyperammonaemia|hyperammonemia
hyperapobetalipoproteinaemia|hyperapobetalipoproteinemia
hyperargininaemia|hyperargininemia
hyperbetalipoproteinaemia|hyperbetalipoproteinemia
hyperbilirubinaemia|hyperbilirubinemia
hypercalcaemia|hypercalcemia
hypercalcaemic|hypercalcemic
hypercarotinaemia|hypercarotinemia
hyperchloraemia|hyperchloremia
hyperchloraemic|hyperchloremic
hypercholesterolaemia|hypercholesterolemia
hyperchylomicronaemia|hyperchylomicronemia
hypercupraemia|hypercupremia
hypergammaglobulinaemia|hypergammaglobulinemia
hypergastrinaemia|hypergastrinemia
hyperglucagonaemia|hyperglucagonemia
hyperglycaemia|hyperglycemia
hyperglycaemic|hyperglycemic
hyperglyceridaemia|hyperglyceridemia
hyperglycinaemia|hyperglycinemia
hyperheparinaemia|hyperheparinemia
